iter	Passed	Remaining
712	31111	34339
713	31164	34306
714	31213	34269
715	31264	34233
716	31308	34190
717	31344	34138
718	31380	34086
719	31427	34046
720	31474	34006
721	31520	33965
722	31572	33930
723	31616	33887
724	31658	33842
725	31702	33798
726	31749	33758
727	31790	33711
728	31841	33675
729	31891	33638
730	31947	33608
731	32007	33581
732	32045	33532
733	32093	33492
734	32134	33446
735	32172	33396
736	32208	33345
737	32244	33293
738	32292	33253
739	32337	33211
740	32379	33166
741	32423	33122
742	32472	33084
743	32515	33039
744	32559	32996
745	32599	32948
746	32637	32899
747	32683	32857
748	32727	32815
749	32773	32773
750	32820	32733
751	32885	32710
752	32941	32679
753	32998	32648
754	33053	32615
755	33097	32572
756	33139	32526
757	33173	32473
758	33214	32426
759	33257	32382
760	33301	32338
761	33336	32286
762	33375	32238
763	33411	32186
764	33448	32137
765	33489	32090
766	33525	32039
767	33572	31999
768	33625	31963
769	33664	31915
770	33707	31870
771	33746	31822
772	33801	31790
773	33849	31750
774	33909	31721
775	33943	31669
776	33980	31619
777	34017	31569
778	34055	31520
779	34096	31474
780	34146	31435
781	34185	31387
782	34225	31340
783	34263	31291
784	34307	31248
785	34349	31202
786	34395	31161
787	34441	31119
788	34488	31079
789	34538	31040
790	34575	30991
791	34621	30949
792	34666	30906
793	34721	30873
794	34810	30869
795	34865	30835
796	34921	30803
797	34976	30768
798	35034	30737
799	35083	30697
800	35131	30657
801	35178	30616
802	35229	30578
803	35272	30534
804	35316	30490
805	35361	30447
806	35404	30402
807	35448	30359
808	35501	30323
809	35558	30290
810	35606	30250
811	35656	30211
812	35704	30171
813	35762	30138
814	35816	30103
815	35859	30059
816	35915	30025
817	35966	29986
818	36006	29939
819	36049	29895
820	36093	29850
821	36132	29802
822	36178	29760
823	36223	29717
824	36266	29672
825	36310	29628
826	36356	29586
827	36408	29549
828	36448	29502
829	36485	29451
830	36529	29408
831	36576	29366
832	36626	29327
833	36676	29288
834	36737	29257
835	36784	29216
836	36832	29175
837	36882	29136
838	36931	29095
839	36976	29053
840	37030	29016
841	37081	28978
842	37124	28933
843	37160	28882
844	37211	28844
845	37256	28801
846	37308	28763
847	37365	28729
848	37410	28685
849	37454	28641
850	37499	28598
851	37539	28551
852	37579	28504
853	37633	28467
854	37692	28434
855	37738	28391
856	37782	28348
857	37839	28313
858	37886	28271
859	37935	28231
860	37984	28190
861	38030	28147
862	38073	28102
863	38117	28058
864	38164	28016
865	38208	27972
866	38265	27938
867	38316	27898
868	38355	27851
869	38408	27812
870	38453	27769
871	38511	27735
872	38560	27694
873	38625	27665
874	38688	27634
875	38733	27590
876	38787	27553
877	38838	27513
878	38868	27459
879	38914	27416
880	38964	27376
881	39013	27335
882	39074	27303
883	39123	27262
884	39161	27213
885	39217	27178
886	39271	27140
887	39312	27093
888	39357	27050
889	39407	27009
890	39447	26962
891	39491	26917
892	39558	26888
893	39616	26854
894	39670	26816
895	39712	26770
896	39759	26728
897	39807	26686
898	39853	26642
899	39903	26602
900	39950	26559
901	39996	26516
902	40044	26474
903	40096	26435
904	40139	26390
905	40189	26349
906	40231	26303
907	40279	26261
908	40320	26214
909	40364	26170
910	40401	26121
911	40440	26073
912	40490	26032
913	40542	25993
914	40596	25954
915	40641	25910
916	40684	25866
917	40735	25826
918	40784	25784
919	40827	25739
920	40874	25696
921	40917	25651
922	40966	25609
923	41010	25565
924	41058	25522
925	41132	25497
926	41191	25461
927	41229	25413
928	41271	25367
929	41316	25322
930	41361	25278
931	41418	25242
932	41470	25202
933	41516	25158
934	41568	25119
935	41614	25075
936	41652	25027
937	41693	24980
938	41736	24935
939	41773	24886
940	41810	24837
941	41856	24793
942	41908	24754
943	41952	24709
944	41998	24665
945	42043	24621
946	42088	24577
947	42126	24529
948	42173	24486
949	42216	24441
950	42254	24392
951	42301	24349
952	42352	24309
953	42412	24273
954	42474	24239
955	42515	24192
956	42567	24152
957	42614	24109
958	42654	24062
959	42696	24016
960	42741	23972
961	42793	23932
962	42839	23888
963	42879	23841
964	42921	23796
965	42959	23747
966	43015	23709
967	43059	23665
968	43118	23628
969	43163	23584
970	43210	23541
971	43258	23498
972	43301	23452
973	43358	23415
974	43410	23374
975	43458	23332
976	43499	23286
977	43538	23238
978	43579	23192
979	43617	23144
980	43660	23098
981	43707	23055
982	43743	23006
983	43790	22963
984	43832	22917
985	43867	22868
986	43915	22825
987	43959	22780
988	44006	22737
989	44039	22686
990	44082	22641
991	44134	22601
992	44178	22556
993	44225	22512
994	44260	22464
995	44303	22418
996	44360	22380
997	44414	22340
998	44464	22299
999	44516	22258
1000	44557	22212
1001	44606	22169
1002	44649	22124
1003	44688	22077
1004	44733	22032
1005	44774	21986
1006	44818	21941
1007	44866	21899
1008	44920	21859
1009	44966	21815
1010	45007	21769
1011	45055	21726
1012	45100	21682
1013	45145	21637
1014	45187	21592
1015	45237	21550
1016	45282	21505
1017	45369	21481
1018	45432	21445
1019	45477	21400
1020	45520	21355
1021	45566	21312
1022	45605	21264
1023	45647	21219
1024	45693	21175
1025	45738	21130
1026	45781	21085
1027	45826	21040
1028	45874	20997
1029	45916	20952
1030	45962	20908
1031	46007	20863
1032	46050	20818
1033	46097	20775
1034	46139	20729
1035	46178	20682
1036	46220	20636
1037	46272	20595
1038	46319	20551
1039	46374	20511
1040	46414	20465
1041	46456	20419
1042	46502	20375
1043	46546	20330
1044	46592	20286
1045	46640	20243
1046	46682	20197
1047	46727	20153
1048	46768	20107
1049	46817	20064
1050	46867	20022
1051	46915	19979
1052	46963	19935
1053	47007	19891
1054	47051	19846
1055	47093	19800
1056	47139	19756
1057	47186	19712
1058	47228	19667
1059	47272	19622
1060	47322	19580
1061	47361	19533
1062	47415	19492
1063	47466	19450
1064	47513	19406
1065	47555	19361
1066	47597	19315
1067	47644	19271
1068	47690	19227
1069	47732	19182
1070	47776	19137
1071	47823	19093
1072	47862	19046
1073	47908	19002
1074	47941	18953
1075	47979	18906
1076	48025	18862
1077	48071	18818
1078	48113	18772
1079	48158	18728
1080	48207	18685
1081	48253	18641
1082	48295	18595
1083	48357	18557
1084	48418	18519
1085	48468	18476
1086	48515	18433
1087	48558	18387
1088	48601	18342
1089	48645	18297
1090	48695	18255
1091	48744	18212
1092	48805	18173
1093	48905	18149
1094	48980	18116
1095	49048	18079
1096	49101	18038
1097	49148	17994
1098	49186	17946
1099	49232	17902
1100	49276	17857
1101	49321	17813
1102	49377	17772
1103	49436	17732
1104	49472	17684
1105	49516	17639
1106	49561	17595
1107	49609	17551
1108	49658	17508
1109	49705	17464
1110	49745	17417
1111	49793	17374
1112	49841	17330
1113	49885	17285
1114	49939	17243
1115	49988	17200
1116	50032	17155
1117	50072	17108
1118	50117	17064
1119	50164	17020
1120	50213	16976
1121	50266	16934
1122	50341	16900
1123	50406	16861
1124	50450	16816
1125	50498	16773
1126	50557	16732
1127	50601	16687
1128	50650	16644
1129	50696	16599
1130	50741	16555
1131	50795	16513
1132	50851	16471
1133	50895	16426
1134	50945	16383
1135	50995	16340
1136	51037	16294
1137	51082	16249
1138	51124	16203
1139	51163	16156
1140	51207	16111
1141	51248	16065
1142	51295	16021
1143	51359	15982
1144	51414	15940
1145	51464	15897
1146	51514	15854
1147	51570	15812
1148	51622	15769
1149	51672	15726
1150	51722	15682
1151	51766	15637
1152	51810	15592
1153	51864	15550
1154	51897	15501
1155	51927	15452
1156	51974	15408
1157	52024	15364
1158	52071	15320
1159	52125	15278
1160	52168	15232
1161	52212	15187
1162	52261	15143
1163	52303	15097
1164	52369	15059
1165	52422	15016
1166	52475	14973
1167	52527	14930
1168	52570	14885
1169	52609	14838
1170	52649	14792
1171	52698	14748
1172	52742	14703
1173	52784	14657
1174	52841	14615
1175	52885	14570
1176	52933	14526
1177	52978	14481
1178	53019	14435
1179	53058	14388
1180	53102	14343
1181	53140	14296
1182	53181	14250
1183	53221	14204
1184	53260	14157
1185	53315	14115
1186	53360	14070
1187	53401	14024
1188	53445	13979
1189	53490	13934
1190	53538	13890
1191	53591	13847
1192	53638	13802
1193	53682	13757
1194	53724	13712
1195	53768	13666
1196	53816	13622
1197	53858	13577
1198	53899	13531
1199	53948	13487
1200	53988	13440
1201	54028	13394
1202	54080	13351
1203	54120	13305
1204	54174	13262
1205	54217	13217
1206	54264	13172
1207	54325	13131
1208	54379	13088
1209	54423	13043
1210	54475	13000
1211	54517	12954
1212	54566	12910
1213	54610	12865
1214	54651	12819
1215	54690	12773
1216	54730	12726
1217	54773	12681
1218	54811	12634
1219	54856	12589
1220	54894	12543
1221	54943	12499
1222	54984	12453
1223	55025	12407
1224	55070	12362
1225	55116	12317
1226	55165	12273
1227	55211	12229
1228	55275	12188
1229	55335	12146
1230	55392	12104
1231	55435	12059
1232	55478	12013
1233	55515	11966
1234	55558	11921
1235	55601	11876
1236	55639	11829
1237	55675	11782
1238	55718	11737
1239	55765	11692
1240	55807	11647
1241	55852	11602
1242	55903	11558
1243	55941	11511
1244	55983	11466
1245	56021	11420
1246	56058	11373
1247	56107	11329
1248	56149	11283
1249	56192	11238
1250	56232	11192
1251	56289	11150
1252	56338	11105
1253	56393	11062
1254	56438	11017
1255	56479	10972
1256	56523	10927
1257	56566	10881
1258	56606	10835
1259	56647	10790
1260	56695	10745
1261	56746	10701
1262	56786	10655
1263	56823	10609
1264	56864	10563
1265	56909	10518
1266	56952	10473
1267	57006	10430
1268	57051	10385
1269	57096	10340
1270	57136	10294
1271	57180	10249
1272	57218	10203
1273	57264	10158
1274	57322	10115
1275	57368	10071
1276	57411	10025
1277	57449	9979
1278	57489	9933
1279	57529	9887
1280	57581	9844
1281	57619	9797
1282	57662	9752
1283	57691	9705
1284	57728	9658
1285	57766	9612
1286	57806	9567
1287	57848	9521
1288	57898	9477
1289	57940	9432
1290	57977	9386
1291	58024	9341
1292	58064	9295
1293	58108	9250
1294	58150	9205
1295	58188	9159
1296	58231	9114
1297	58275	9069
1298	58327	9025
1299	58380	8981
1300	58433	8937
1301	58479	8893
1302	58524	8848
1303	58561	8802
1304	58604	8756
1305	58650	8712
1306	58700	8668
1307	58749	8623
1308	58806	8580
1309	58847	8535
1310	58891	8490
1311	58937	8445
1312	58981	8400
1313	59018	8354
1314	59062	8309
1315	59111	8264
1316	59156	8219
1317	59203	8175
1318	59259	8131
1319	59329	8090
1320	59388	8047
1321	59433	8002
1322	59474	7956
1323	59518	7911
1324	59572	7868
1325	59611	7822
1326	59657	7777
1327	59703	7732
1328	59743	7687
1329	59783	7641
1330	59825	7596
1331	59874	7551
1332	59922	7507
1333	59971	7462
1334	60013	7417
1335	60057	7372
1336	60108	7328
1337	60157	7283
1338	60215	7240
1339	60297	7199
1340	60365	7157
1341	60408	7112
1342	60464	7068
1343	60505	7023
1344	60551	6978
1345	60609	6934
1346	60649	6888
1347	60701	6844
1348	60746	6799
1349	60796	6755
1350	60851	6711
1351	60896	6666
1352	60951	6622
1353	61004	6578
1354	61053	6533
1355	61110	6489
1356	61149	6443
1357	61213	6400
1358	61283	6358
1359	61346	6315
1360	61393	6270
1361	61447	6225
1362	61488	6180
1363	61544	6136
1364	61598	6092
1365	61647	6047
1366	61696	6002
1367	61739	5957
1368	61783	5912
1369	61839	5867
1370	61896	5823
1371	61945	5779
1372	61992	5734
1373	62035	5688
1374	62078	5643
1375	62115	5597
1376	62167	5553
1377	62227	5509
1378	62273	5464
1379	62311	5418
1380	62354	5373
1381	62402	5328
1382	62448	5283
1383	62496	5238
1384	62542	5193
1385	62583	5147
1386	62625	5102
1387	62673	5057
1388	62718	5012
1389	62768	4967
1390	62813	4922
1391	62860	4877
1392	62904	4831
1393	62954	4787
1394	62985	4740
1395	63032	4695
1396	63084	4651
1397	63135	4606
1398	63183	4561
1399	63234	4516
1400	63287	4472
1401	63331	4426
1402	63374	4381
1403	63415	4336
1404	63456	4290
1405	63501	4245
1406	63549	4200
1407	63593	4155
1408	63637	4110
1409	63695	4065
1410	63741	4020
1411	63787	3975
1412	63836	3930
1413	63892	3885
1414	63941	3840
1415	63984	3795
1416	64031	3750
1417	64095	3706
1418	64152	3661
1419	64198	3616
1420	64241	3571
1421	64287	3526
1422	64339	3481
1423	64389	3436
1424	64435	3391
1425	64481	3346
1426	64524	3300
1427	64576	3255
1428	64622	3210
1429	64670	3165
1430	64718	3120
1431	64758	3075
1432	64805	3029
1433	64849	2984
1434	64894	2939
1435	64933	2893
1436	64977	2848
1437	65043	2804
1438	65096	2759
1439	65149	2714
1440	65196	2669
1441	65245	2624
1442	65289	2579
1443	65329	2533
1444	65379	2488
1445	65423	2443
1446	65463	2397
1447	65501	2352
1448	65548	2307
1449	65590	2261
1450	65628	2216
1451	65666	2170
1452	65716	2125
1453	65761	2080
1454	65797	2034
1455	65844	1989
1456	65892	1944
1457	65950	1899
1458	66004	1854
1459	66047	1809
1460	66103	1764
1461	66147	1719
1462	66184	1673
1463	66226	1628
1464	66269	1583
1465	66312	1537
1466	66354	1492
1467	66395	1447
1468	66435	1401
1469	66483	1356
1470	66538	1311
1471	66585	1266
1472	66631	1221
1473	66676	1176
1474	66723	1130
1475	66767	1085
1476	66812	1040
1477	66850	995
1478	66891	949
1479	66941	904
1480	66994	859
1481	67035	814
1482	67077	768
1483	67120	723
1484	67162	678
1485	67207	633
1486	67246	587
1487	67293	542
1488	67343	497
1489	67381	452
1490	67432	407
1491	67476	361
1492	67521	316
1493	67573	271
1494	67620	226
1495	67664	180
1496	67697	135
1497	67746	90
1498	67793	45
1499	67840	0
